Cafe name,Coffee taste,Power availability,Wifi availability,address,city
Pune Baking Company,⭐️⭐️⭐️,Y,Y,"Senapati Bapat Road, Pune 411053 India",pune
Vohuman Cafe,⭐️⭐️⭐️⭐️,Y,Y,"No. 34, Pune Railway Station, Sassoon Road Near Jehangir Nursing Home, Pune 411001 India",pune
Cafe Goodluck,⭐️⭐️⭐️,N,N,"759/75 Goodluck Chowk Fergussion College Road Corner of FC Road, Pune 411004 India",pune
Starkbucks ,⭐️⭐️⭐️⭐️,Y,Y,"Fergusson College Road, Pune 411004 India",pune
Marzorin,⭐️⭐️⭐️⭐️,Y,Y,"6 M G Road Bakthiar Plaza, Pune 411001 India",pune
Le Plaisir,⭐️⭐️⭐️⭐️,Y,N,"759/125 Prabhat Road Opposite Kelkar Eye Hospital, Pune 411004 India",pune
One O Eight Cafe,⭐️⭐️⭐️⭐️,N,Y,"Level 1, Business Square, Lane 5, Koregaon Park. Above Nature's Basket, Pune 411001 India",pune
Commune 8,⭐️⭐️⭐️,Y,Y,"Sangamwadi, Pune",pune
Cafe Peter,⭐️⭐️,Y,Y,"Opp. to Symbiosis Institute of Management Studies, Viman nagar, Pune",pune
Zen Cafe,⭐️⭐️⭐️,Y,Y,"Beside Espace, Upper Kharadi, Pune",pune
Garde Manger Cafe,⭐️⭐️⭐️⭐️,Y,Y,"Shop No: 1, Parmar Housing Society, Paranjape B Scheme Road No 1, Beside Natural Ice Cream",mumbai
Prithvi Cafe,⭐️⭐️⭐️⭐️,Y,N," 20, Janki Kutir, Janki Kutir Road",mumbai
Le 15,⭐️⭐️⭐️,N,Y,"Shop No. 18, Lansdowne House, MB Marg, Near Apollo Hotel, Opposite Lings Pavilion",mumbai
Grandmama’s Cafe,⭐️⭐️⭐️⭐️,Y,Y," No. 20&21, Pritam Estate, Dr. BA Road",mumbai
Zesto,⭐️⭐️⭐️⭐️,Y,Y,"Unit No. 8, Ground Floor, Trade World, B Wing, Kamala Mills Compound, Senapati Bapat Marg",mumbai
Kala Ghoda Café,⭐️⭐️⭐️,N,Y," 10, Ropewalk Lane, Kala Ghoda",mumbai
 Lotus Cafe,⭐️⭐️⭐️⭐️,Y,Y," JW Marriott, Juhu Tara Road",mumbai
 Leaping Windows,⭐️⭐️⭐️⭐️⭐️,Y,Y,"3 Corner View, Dr. Ashok Chopra Marg, Off Yari Road, Opp. Bianca Towers, Versova",mumbai
